2019-03-01 09:18:59.464 Eyes: [LOG    ] {} [75] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:18:59.464 Eyes: [LOG    ] {} [75] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:18:59.464 Eyes: [LOG    ] {} [75] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:18:59.464 Eyes: [LOG    ] {} [75] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:18:59.464 Eyes: [LOG    ] {} [75] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:18:59.464 Eyes: [LOG    ] {} [75] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:18:59.464 Eyes: [LOG    ] {} [75] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:18:59.464 Eyes: [LOG    ] {} [75] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:18:59.464 Eyes: [LOG    ] {} [75] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:18:59.465 Eyes: [LOG    ] {} [75] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:00.386 Eyes: [LOG    ] {} [23] TestEyesBase.test(): navigated to https://instagram.com
2019-03-01 09:19:00.386 Eyes: [LOG    ] {} [23] TestEyesBase.test(): running check for url https://instagram.com
2019-03-01 09:19:01.026 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.113 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.114 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.114 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.114 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.114 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.114 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.121 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.121 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.121 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.125 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.125 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.125 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.125 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.125 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.126 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.126 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.126 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.126 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.126 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.126 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.126 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.126 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.126 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.127 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.127 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.127 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.127 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.127 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.127 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.127 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.127 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.128 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.128 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.128 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.128 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.128 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.128 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.128 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.128 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.129 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.129 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.132 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.132 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.132 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.132 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.132 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.132 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.133 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.133 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:01.133 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:01.133 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:02.537 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.fetchAllResources(): done writing to debugWriter
2019-03-01 09:19:02.538 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:02.538 Eyes: [LOG    ] {} [88] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.447 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.630 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.631 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.631 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.631 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.632 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.639 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.640 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.642 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.642 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.642 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.642 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.642 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.643 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.644 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.644 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.644 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.645 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.645 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.645 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.645 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.645 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.647 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.655 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.655 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.684 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.684 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.761 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.763 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.764 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.764 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.764 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.764 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.764 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.765 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.765 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.765 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.765 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.765 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.765 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.765 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.765 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.766 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.766 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.770 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.771 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.771 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.771 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.772 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.772 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.772 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.772 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:04.773 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.fetchAllResources(): done writing to debugWriter
2019-03-01 09:19:04.773 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): enter
2019-03-01 09:19:04.775 Eyes: [LOG    ] {} [116] com.applitools.eyes.visualgridclient.model.RenderingTask.getCss(): exit
2019-03-01 09:19:07.141 Eyes: [LOG    ] {} [88] com.applitools.eyes.ServerConnector.renderPutResource(): future created.
2019-03-01 09:19:07.380 Eyes: [LOG    ] {} [116] com.applitools.eyes.ServerConnector.renderPutResource(): future created.
2019-03-01 09:19:07.408 Eyes: [LOG    ] {} [134] com.applitools.eyes.ServerConnector.renderPutResource(): future created.
2019-03-01 09:19:07.414 Eyes: [LOG    ] {} [163] com.applitools.eyes.ServerConnector.renderPutResource(): future created.
2019-03-01 09:19:08.112 Eyes: [LOG    ] {} [19] TestEyesBase.test(): navigated to https://amazon.com
2019-03-01 09:19:08.112 Eyes: [LOG    ] {} [19] TestEyesBase.test(): running check for url https://amazon.com
